,ndwi_mean,ndwi_median,ndti_mean,ndti_median,ndci_mean,ndci_median
January,0.29785963181744923,0.3656105209903961,-0.1927717626094818,-0.1880222072994167,-0.019302550131793727,-0.03745153643698855
February,0.16491541005153623,0.1588895670655701,-0.1541625348230203,-0.13752675692537902,-0.002906709366167585,-0.018544750404544175
March,0.21587911061942577,0.27473985764663666,-0.14936691615730524,-0.154178583441535,0.013307948524015956,-0.01782068854663521
April,0.042954685108270496,0.07862706470768899,-0.0794071524287574,-0.08383023971691728,0.03747973853023723,0.008040523563977331
May,0.13860977686157352,0.18004042582929528,-0.1245928536120214,-0.12928110155227937,0.03139608073979616,0.006617788831997467
June,0.4525856077671051,0.6590163707733154,-0.28668564558029175,-0.32542818784713745,-0.01641787588596344,-0.03999999910593033
July,0.19362161805232367,0.30137158433596295,-0.15121695647637048,-0.16651328653097153,0.06808535878856976,0.05080643172065417
August,0.09673304110765457,0.23780487477779388,-0.09530728310346603,-0.09954185783863068,0.0806458592414856,0.06287425011396408
September,0.3131077691912651,0.49001292455941436,-0.15388883650302887,-0.16303027793765068,0.04583339476957917,0.030250157322734596
October,0.28057447610341985,0.373291639894571,-0.15149423763479875,-0.16093907537667648,0.030917994242728404,0.01090924194811479
November,0.32266476660966875,0.4217246008850634,-0.18842106461524963,-0.19803138863295316,0.002926453547552228,-0.01866513930261135
December,0.3325638036275732,0.4274075600671871,-0.20798201961763974,-0.21150872811418156,-0.005184351665305038,-0.026616912286985536
