time,sst
2019-01-31,17.58997
2019-02-28,19.669352
2019-03-31,21.76166
2019-04-30,24.227364
2019-05-31,27.806917
2019-06-30,30.569124
2019-07-31,31.035393
2019-08-31,30.491472
2019-09-30,29.267664
2019-10-31,27.457752
2019-11-30,23.149841
2019-12-31,19.533125
2020-01-31,18.515278
2020-02-29,19.212164
2020-03-31,22.29894
2020-04-30,25.334677
2020-05-31,26.40905
2020-06-30,29.959883
2020-07-31,31.06269
2020-08-31,31.133955
2020-09-30,29.562841
2020-10-31,27.082163
2020-11-30,23.233616
2020-12-31,17.785755
2021-01-31,
2021-02-28,
2021-03-31,
2021-04-30,
2021-05-31,
2021-06-30,
2021-07-31,
2021-08-31,
2021-09-30,
2021-10-31,
2021-11-30,
2021-12-31,
2022-01-31,
2022-02-28,
2022-03-31,
2022-04-30,
2022-05-31,
2022-06-30,
2022-07-31,
2022-08-31,
2022-09-30,
2022-10-31,
2022-11-30,
2022-12-31,
2023-01-31,
2023-02-28,
2023-03-31,
2023-04-30,
2023-05-31,
2023-06-30,
2023-07-31,
2023-08-31,
2023-09-30,
2023-10-31,
2023-11-30,
2023-12-31,
2024-01-31,
2024-02-29,
2024-03-31,
2024-04-30,
2024-05-31,
2024-06-30,
2024-07-31,
2024-08-31,
2024-09-30,
2024-10-31,
2024-11-30,
2024-12-31,
